"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End day","End month","End year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province"
"ffea33c9-8d70-4785-a38f-d62ff4f7242f","400422","CC-BY","Shropshire Ecological Data Network","Artemisia vulgaris","Mugwort","NBNSYS0000004469","species","present","1987-08-26","26","08","1987","","","","","Trench Pool","SJ6812","52.70924","-2.46767","1000.0","","Rapson, Ms J., Connelly, Ms J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","SJ","SJ61","SJ61W","SJ6812","United Kingdom","England"
"ffea0852-b1f9-419c-a1e1-a94b2249a758","524061197","CC-BY-NC","","Crataegus monogyna","Hawthorn","NBNSYS0000003430","species","present","1997-08-29","29","08","1997","1997-08-29","29","08","1997","","SJ71","52.73205","-2.37166","10000.0","","","","","","","","","","","","Unconfirmed","HumanObservation","SR0000110000005J","SER Site-based Surveys","dr1399","Staffordshire Ecological Record","dp134","Staffordshire Ecological Record","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","SJ","SJ71","","","United Kingdom","England"
"ffe96e45-d1eb-48f8-84cb-2226df6ea43f","370674","CC-BY","Shropshire Ecological Data Network","Galium saxatile","Heath Bedstraw","NBNSYS0000004310","species","present","2015-08-16","16","08","2015","","","","","Myndtown","SO3989","52.50003","-2.89265","1000.0","","Green, Mr P.R.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","SO","SO38","SO38Z","SO3989","United Kingdom","England"
"ffe7f1f7-607d-4ce9-aa05-539269df1b83","524173249","CC-BY-NC","","Prunella vulgaris","Selfheal","NBNSYS0000004225","species","present","2000-08-14","14","08","2000","2000-08-14","14","08","2000","","SJ71","52.73205","-2.37166","10000.0","","","","","","","","","","","","Unconfirmed","HumanObservation","SR0000110000002X","Data from Defra Family Organisations supplied to Staffordshire Ecological Record","dr1327","Staffordshire Ecological Record","dp134","Staffordshire Ecological Record","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Prunella","SJ","SJ71","","","United Kingdom","England"
"ffe7edec-d81d-4b7b-85e0-5f17cab093f2","73565","CC-BY","Shropshire Ecological Data Network","Asplenium ruta-muraria","Wall-Rue","NBNSYS0000002050","species","present","2005-08-09","09","08","2005","","","","","River Teme at Ludlow","SO5074","52.3663","-2.7284","1000.0","","Lockton, Mr A.J., Godfrey, Sqn Ldr M F","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Pteridophyta","Polypodiopsida","Polypodiales","Aspleniaceae","Asplenium","SO","SO57","SO57C","SO5074","United Kingdom","England"
"ffe77d73-65fc-4e12-8af6-7391e1bc82f8","103428","CC-BY","Shropshire Ecological Data Network","Sparganium erectum","Branched Bur-Reed","NBNSYS0000002361","species","present","1968-08-21","21","08","1968","","","","","Marton Pool, Baschurch","SJ4423","52.80618","-2.82474","1000.0","","Fuller, Mr C., Richards, Mr P.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Typhaceae","Sparganium","SJ","SJ42","SJ42L","SJ4423","United Kingdom","England"
"ffe6741a-4b40-413a-9293-0bfb47f0fda3","412822","CC-BY","Shropshire Ecological Data Network","Centaurea nigra","Common Knapweed","NBNSYS0000004506","species","present","1981-08-01","01","08","1981","","","","","Netchwood Common","SO614914","52.51956","-2.56956","100.0","","Saville, Miss K.M.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","SO","SO69","SO69A","SO6191","United Kingdom","England"
"ffe64aa7-08fb-4c66-8255-355013553a78","559515","CC-BY","Shropshire Ecological Data Network","Rhytidiadelphus squarrosus","Springy Turf-moss","NBNSYS0000022280","species","present","1994-08-12","12","08","1994","","","","","Barnslands Valley","SO66587411","52.36406","-2.49214","10.0","","Wrench, Mr D.H.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae","Rhytidiadelphus","SO","SO67","SO67S","SO6674","United Kingdom","England"
"ffe56ee0-05bf-4f70-bc1d-c1c070b7cd75","543328570","CC-BY","","Pleurozium schreberi","Red-stemmed Feather-moss","NHMSYS0000310352","species","present","1994-08-03","03","08","1994","1994-08-03","03","08","1994","Silvington Hill","SO619785","52.40363","-2.56071","100.0","","Duckworth, J.C.; Walker, C.; Wrench, D.H.","","","","","","","","","","Accepted","HumanObservation","417","Bryophyte data for Great Britain from the British Bryological Society held by BRC: Atlas 2014","dr859","British Bryological Society","dp74","British Bryological Society","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae","Pleurozium","SO","SO67","SO67E","SO6178","United Kingdom","England"
"ffe1dcb6-850c-4798-b099-392092a4d490","553839057","OGL","","Alopecurus pratensis","Meadow Foxtail","NBNSYS0000002656","species","present","1994-08-03","03","08","1994","1994-08-03","03","08","1994","","SO6277","52.39423","-2.55251","1000.0","","","","","","","","","","","","Accepted","HumanObservation","1","Environmental Monitoring Database Species data 1987 to 2015","dr961","Natural England","dp83","Natural England","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Alopecurus","SO","SO67","SO67I","SO6277","United Kingdom","England"
